company,year,pos_sentiment_count,neg_sentiment_count,sentiment_score,buzzword_count,buzzword_density,esgsi_raw,company_clean,ftse_company,co2_tonnes,emissions_norm,esgsi_norm,extended_esgsi,extended_esgsi_score,greenwashing_label
astrazeneca,2023,270,83,0.7649,659,33.3316,25.4945,AstraZeneca,AstraZeneca,31869.946989999986,0.0,1.0,25.4945,83.61,0
astrazeneca,2024,1267,1096,0.5362,1235,7.2174,3.8699,AstraZeneca,,,,0.0,3.8699,10.79,0
astrazeneca,2025,1186,1034,0.5342,1560,9.8422,5.258,AstraZeneca,,,,0.06419078271968037,5.258,15.46,0
barclays,2021,582,2110,0.2162,370,3.0798,0.6658,Barclays,Barclays,42.695880003333336,0.0,0.0,0.6658,0.0,0
barclays,2022,636,2371,0.2115,475,3.593,0.76,Barclays,Barclays,42.695880003333336,0.0,0.5779141104294481,0.76,0.32,0
barclays,2023,714,2600,0.2154,523,3.8468,0.8288,Barclays,Barclays,42.695880003333336,0.0,1.0,0.8288,0.55,0
bp,2021,386,162,0.7044,1081,31.1133,21.9156,BP,BP,2420268.4568198626,0.24851741696364704,1.0,24.40077416963647,79.92,0
bp,2022,325,180,0.6436,1004,24.5904,15.8255,BP,BP,2364929.345167178,0.0,0.0,15.8255,51.05,0
bp,2023,347,193,0.6426,1050,25.2805,16.2451,BP,BP,2587606.340320316,1.0,0.06889870445477099,26.2451,86.13,1
diageo,2021,2035,1505,0.5749,1310,5.4724,3.1458,Diageo,Diageo,6249.73163999998,1.0,0.5908325780137251,13.1458,42.02,0
diageo,2022,2026,1767,0.5341,1275,5.0352,2.6895,Diageo,Diageo,5121.894229999984,0.24342790038960865,0.0,5.123779003896086,15.01,0
diageo,2023,1378,1190,0.5366,1043,5.6643,3.0395,Diageo,Diageo,4759.01130999998,0.0,0.4531917648582156,3.0395,7.99,0
diageo,2024,1420,1405,0.5027,1166,6.0812,3.0568,Diageo,,,,0.47559238637835033,3.0568,8.05,0
diageo,2025,1380,1220,0.5308,1083,6.5222,3.4618,Diageo,,,,1.0,3.4618,9.41,0
hsbc,2019,532,386,0.5795,747,18.3502,10.6343,HSBC,,,,1.0,10.6343,33.57,0
hsbc,2020,1847,3496,0.3457,1259,4.4066,1.5233,HSBC,,,,0.0,1.5233,2.89,0
hsbc,2021,1981,4023,0.3299,2012,6.5146,2.1495,HSBC,,,,0.068730106464713,2.1495,5.0,1
hsbc,2022,1998,4391,0.3127,2455,7.5407,2.3582,HSBC,,,,0.09163648337174844,2.3582,5.7,1
hsbc,2023,1823,4431,0.2915,2456,7.1656,2.0887,HSBC,,,,0.06205685435188231,2.0887,4.79,0
national_grid,2021,1486,1360,0.5221,1599,7.4813,3.9063,National Grid plc,National Grid plc,316779.7343028317,0.0,1.0,3.9063,10.91,0
national_grid,2023,1524,1855,0.451,1510,6.6524,3.0004,National Grid plc,National Grid plc,340754.07757166465,1.0,0.0,13.000399999999999,41.53,0
national_grid,2024,1317,1542,0.4607,1353,7.1463,3.2919,National Grid plc,,,,0.321779445854951,3.2919,8.84,0
shell,2021,289,92,0.7585,928,26.8456,20.3632,Shell plc,Shell plc,2154200.9032230126,1.0,1.0,30.3632,100.0,1
shell,2022,300,110,0.7317,959,23.8658,17.4628,Shell plc,Shell plc,1959854.8659699217,0.24234931757661798,0.3392263179477836,19.88629317576618,64.72,1
shell,2023,269,138,0.6609,1135,24.1685,15.9738,Shell plc,Shell plc,1897689.5032313096,0.0,0.0,15.9738,51.55,0
unilever,2021,823,1040,0.4418,725,5.3538,2.3651,Unilever,Unilever,5439.346758999999,1.0,0.0,12.3651,39.4,0
unilever,2022,943,1292,0.4219,850,5.6387,2.3791,Unilever,Unilever,5006.603000666666,0.44671349686962597,0.026732862325759478,6.84623496869626,20.81,0
unilever,2023,961,1249,0.4348,1038,6.6433,2.8888,Unilever,Unilever,4657.213531666667,0.0,1.0,2.8888,7.49,0
