ftse_company,naei_operator,year,co2_tonnes
BP,BP Exploration Operating Co Ltd,2019,2986050.4725758936
BP,BP Exploration Operating Co Ltd,2020,2720879.1924535683
BP,BP Exploration Operating Co Ltd,2021,2420268.4568198626
BP,BP Exploration Operating Co Ltd,2022,2364929.345167178
BP,BP Exploration Operating Co Ltd,2023,2587606.340320316
Shell plc,Shell UK Exploration & Production,2019,2563959.4027570137
Shell plc,Shell UK Exploration & Production,2020,2498832.200537853
Shell plc,Shell UK Exploration & Production,2021,2154200.9032230126
Shell plc,Shell UK Exploration & Production,2022,1959854.8659699217
Shell plc,Shell UK Exploration & Production,2023,1897689.5032313096
SSE plc,Scottish & Southern Energy Plc,2019,681245.6481331013
SSE plc,Scottish & Southern Energy Plc,2020,810469.3652880586
SSE plc,Scottish & Southern Energy Plc,2021,302272.9802532
SSE plc,Scottish & Southern Energy Plc,2022,646177.426076798
SSE plc,Scottish & Southern Energy Plc,2023,504319.85143173335
Centrica,Centrica PB Ltd,2019,21537.497629999998
Centrica,Centrica PB Ltd,2020,31929.41485999998
National Grid plc,National Grid Gas Plc,2019,218633.87271999984
National Grid plc,National Grid Gas Plc,2020,246309.11207006575
National Grid plc,National Grid Gas Plc,2021,316779.7343028317
National Grid plc,National Grid Gas Plc,2022,410940.0845598987
National Grid plc,National Grid Gas Plc,2023,340754.07757166465
United Utilities,United Utilities Water Plc,2019,1122.3467299833324
United Utilities,United Utilities Water Plc,2020,998.567999999999
United Utilities,United Utilities Water Plc,2021,997.6069999999986
United Utilities,United Utilities Water Plc,2022,997.6069999999986
United Utilities,United Utilities Water Plc,2023,997.6069999999986
AstraZeneca,AstraZeneca UK Ltd,2019,48592.7582699999
AstraZeneca,AstraZeneca UK Ltd,2020,49665.11187
AstraZeneca,AstraZeneca UK Ltd,2021,52938.14163999936
AstraZeneca,AstraZeneca UK Ltd,2022,41089.43399999973
AstraZeneca,AstraZeneca UK Ltd,2023,31869.946989999986
Diageo,Diageo Plc,2019,5896.0
Diageo,Diageo Plc,2020,5731.654259999983
Diageo,Diageo Plc,2021,6249.73163999998
Diageo,Diageo Plc,2022,5121.8942299999835
Diageo,Diageo Plc,2023,4759.01130999998
Unilever,Unilever UK Ltd,2019,3274.3976998333333
Unilever,Unilever UK Ltd,2020,5263.128849000001
Unilever,Unilever UK Ltd,2021,5439.346758999999
Unilever,Unilever UK Ltd,2022,5006.603000666666
Unilever,Unilever UK Ltd,2023,4657.213531666667
Barclays,Barclays Bank Plc,2019,16.578750001
Barclays,Barclays Bank Plc,2020,42.695880003333336
Barclays,Barclays Bank Plc,2021,42.695880003333336
Barclays,Barclays Bank Plc,2022,42.695880003333336
Barclays,Barclays Bank Plc,2023,42.695880003333336
NatWest Group,NatWest Group plc,2020,1005.8347199999963
NatWest Group,NatWest Group plc,2021,1005.8347199999963
NatWest Group,NatWest Group plc,2022,1005.8347199999963
NatWest Group,NatWest Group plc,2023,1005.8347199999963
Lloyds Banking Group,Lloyds Banking Group plc,2019,200.34099000666666
Lloyds Banking Group,Lloyds Banking Group plc,2020,203.98026
Lloyds Banking Group,Lloyds Banking Group plc,2021,203.98026
Lloyds Banking Group,Lloyds Banking Group plc,2022,203.98026
Lloyds Banking Group,Lloyds Banking Group plc,2023,203.98026
BAE Systems,BAE Systems Plc,2019,8999.172689999983
BAE Systems,BAE Systems Plc,2020,8427.41671999997
BAE Systems,BAE Systems Plc,2021,16678.074359999984
BAE Systems,BAE Systems Plc,2022,8603.29099999996
BAE Systems,BAE Systems Plc,2023,8119.514999999956
Rolls-Royce Holdings,Rolls Royce Plc,2019,7683.795999
Rolls-Royce Holdings,Rolls Royce Plc,2020,7683.795999
Rolls-Royce Holdings,Rolls Royce Plc,2021,3028.3929998666663
Rolls-Royce Holdings,Rolls Royce Plc,2023,4711.339999666667
