company,year,word_count,sentence_count,quant_claims_count,vague_count,action_count,hedge_count,positive_count,sustainability_mentions,specificity_ratio,credibility_count,vague_per_1000,action_per_1000,hedge_per_1000,positive_per_1000
bp,2021,34744,1217,33,83,33,202,467,389,0.0848,73,2.39,0.95,5.81,13.44
bp,2022,40829,1582,73,89,67,282,472,473,0.1543,92,2.18,1.64,6.91,11.56
bp,2023,41534,1574,40,81,59,334,474,475,0.0842,94,1.95,1.42,8.04,11.41
shell,2021,34568,1501,63,53,27,197,344,614,0.1026,55,1.53,0.78,5.7,9.95
shell,2022,40183,1768,65,47,42,226,371,651,0.0998,73,1.17,1.05,5.62,9.23
shell,2023,46962,2011,108,72,49,279,348,737,0.1465,73,1.53,1.04,5.94,7.41
hsbc,2019,40708,1643,11,124,47,284,387,154,0.0714,158,3.05,1.15,6.98,9.51
hsbc,2020,285706,10000,74,231,158,2813,713,406,0.1823,884,0.81,0.55,9.85,2.5
hsbc,2021,308844,10812,72,274,162,3062,969,935,0.077,929,0.89,0.52,9.91,3.14
hsbc,2022,325566,11461,61,321,200,3250,1125,1258,0.0485,1025,0.99,0.61,9.98,3.46
hsbc,2023,342747,11965,69,296,189,3287,1185,1331,0.0518,1050,0.86,0.55,9.59,3.46
barclays,2021,120139,3401,2,59,35,1320,169,133,0.015,361,0.49,0.29,10.99,1.41
barclays,2022,132200,3765,25,81,30,1436,237,319,0.0784,391,0.61,0.23,10.86,1.79
barclays,2023,135958,3890,29,77,29,1444,254,380,0.0763,395,0.57,0.21,10.62,1.87
astrazeneca,2023,19771,693,22,46,37,107,205,130,0.1692,60,2.33,1.87,5.41,10.37
astrazeneca,2024,171114,6231,18,105,132,1573,528,439,0.041,554,0.61,0.77,9.19,3.09
astrazeneca,2025,158501,5577,20,101,121,1503,478,418,0.0478,487,0.64,0.76,9.48,3.02
diageo,2021,239384,7585,41,152,169,1816,690,427,0.096,745,0.63,0.71,7.59,2.88
diageo,2022,253217,8151,52,134,217,1954,704,554,0.0939,778,0.53,0.86,7.72,2.78
diageo,2023,184136,6026,42,112,162,1488,599,486,0.0864,551,0.61,0.88,8.08,3.25
diageo,2024,191738,6107,41,103,150,1534,675,545,0.0752,508,0.54,0.78,8.0,3.52
diageo,2025,166047,5648,20,93,117,1390,516,305,0.0656,438,0.56,0.7,8.37,3.11
unilever,2021,135417,5325,31,74,97,1254,435,406,0.0764,411,0.55,0.72,9.26,3.21
unilever,2022,150744,5994,39,71,110,1309,508,534,0.073,434,0.47,0.73,8.68,3.37
unilever,2023,156248,6067,37,79,120,1485,461,527,0.0702,503,0.51,0.77,9.5,2.95
national_grid,2021,213733,7076,67,130,147,2034,989,510,0.1314,586,0.61,0.69,9.52,4.63
national_grid,2023,226986,7346,38,91,162,2228,863,515,0.0738,607,0.4,0.71,9.82,3.8
national_grid,2024,189329,6257,32,109,156,1852,751,611,0.0524,527,0.58,0.82,9.78,3.97
lloyds,2021,234546,7114,27,92,116,2006,568,366,0.0738,672,0.39,0.49,8.55,2.42
lloyds,2022,241511,7336,34,90,107,2095,574,377,0.0902,685,0.37,0.44,8.67,2.38
lloyds,2023,243881,7422,36,107,112,2135,704,506,0.0711,707,0.44,0.46,8.75,2.89
natwest,2021,277696,9370,43,157,227,2928,641,755,0.057,758,0.57,0.82,10.54,2.31
natwest,2022,271636,9197,33,154,212,2846,668,854,0.0386,734,0.57,0.78,10.48,2.46
natwest,2023,377703,12162,35,167,222,3858,736,1038,0.0337,833,0.44,0.59,10.21,1.95
sse,2021,62152,2144,36,65,53,406,667,613,0.0587,177,1.05,0.85,6.53,10.73
sse,2022,50680,1741,51,60,46,339,754,536,0.0951,167,1.18,0.91,6.69,14.88
sse,2023,52814,1843,32,62,49,361,660,498,0.0643,180,1.17,0.93,6.84,12.5
